Oversikt over snøskredulykker;;;;;http://www.varsom.no/Util/login.aspx?ReturnUrl=/varsomui;;;;http://tst-www.varsom.no/Util/login.aspx?ReturnUrl=%2fvarsomui;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GULMERKET: Celler med døde eller ukjent involverte;;;;;;;;;Hei igjen;;totalt ant.;;;;;;;"S Sender,Søkestand, Spade
I Ingen
? Ukjent";;vedvarende svakt lag hvis dette er bekreftet. Ellers bruk flakskred om dette er kjent. Alt. Skavl, løssnøskred, ukjent;;;;;;;;;;;;;;;;
Blå kolonner skal vises i sesongliste på varsom. Røde er obligatoriske.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dato;Døde;Skredtatte;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse;Involvert;"Skadet/
omkommet";"Totalt 
begravd";"Delvis
begravd";"Tatt, 
men ikke
 begravd";"Nære på,
 men ikke 
tatt";Najonalitet;"Alder
(-årene)";Skredutstyr;"Middels til 
mye erfaring";type skred;skred-størrelse;guide;;;;;;;;;;;;;;
30.04.20;0;0;Ski;M;Søre istinden;Bardu;Troms;233304;;Skiløper utløst str.2 skred i rennformasjon. Ingen tatt.;1;;;;;1;;;;;flakskred;2;;;;;;;;;;;;;;;
29.04.20;0;0;Ski;M;Steinskardtinden;Tromsø;Troms;233173;;Skiløperutløst str.2 skred. Ingen tatt. ;1;;;;;1;;;;;flakskred;2;;;;;;;;;;;;;;;
29.04.20;0;1;Ski;N;Sydvestbreen;Tromsø;Troms;233162;;Kalving fra bre utløste skred. En tatt, men ikke alvorlig skadet. Ble gravd frem av de andre i turgruppa;3;;;1;;;;;;;isras/flakskred;3;;;;;;;;;;;;;;;
28.04.20;0;0;Ski;M;Geitgaljen;Vågan;Nord.;233053;;Skiløper utløste str.2 flakskred. Ikke tatt.;1;;;;;1;;;;;flakskred;2;;;;;;;;;;;;;;;
24.04.20;0;0;Ski;M;Saudehornet;Ørsta;M&R;232579;;Skiløpet utløste vått løssnøskred. Ikke tatt.;1;;;;;1;;;;;vått løssnsøskred;2;;;;;;;;;;;;;;;
19.04.20;0;0;Ski;M;Blånebba;Rauma;M&R;231749;;Skavl knakk og person ble hengende etter armene men klarte å komme seg opp;1;;;;;1;;;;;skavlknekk;;;;;;;;;;;;;;;;
05.04.20;0;0;Ski;M;Fjellheisen Tromsø;Tromsø;Troms;228616;;Skiløperutløst str.1,5 skred. Ikke tatt;1;;;;;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
05.04.20;0;1;Ski;M;Luttinden;Senja;Troms;228545;;Skiløper tatt av skred i bratt renne. Dradd med og delvis begravd;1;;;1;;;;;;;flakskred;2;;;;;;;;;;;;;;;
30.03.20;0;1;Ski;M;Skjerdingane;Sogndal;S&F;226452;;Skiløperutløst skred. En tatt, mistet ski og staver. Ikke skadet.;2;;;1;;;;;;;flakskred;2;;;;;;;;;;;;;;;
28.03.20;0;0;Fots;N;Hammerfest;Hammerfest;Finn.;226140;;Person truffet av skred på tursti;1;;;;1;;;;;;flakskred;1.5;;;;;;;;;;;;;;;
27.03.20;0;0;Snøskuter;M;Fallebavarri;Hammerfest;Finn.;225940;;Skred utløst av snøskuter etter dropp fra skavl;1;;;;;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
22.03.20;0;1;Bil;N;Gloppen;Gloppen;S&F;232098;;Bil tatt av skred. Sjjåføren fysisk uskadd;1;;;;1;;;;;;flakskred;3.5;;;;;;;;;;;;;;;
14.03.20;0;3;Ski;M;Vinnufjellet;Sunndal;M&R;223017;;Skiløperutløst str.1,5 skred i brattheng. Ingen tatt, men nære på;3;;;;;3;;;;;flakskred;1.5;;;;;;;;;;;;;;;
