Oversikt over snøskredulykker;;;;;http://www.varsom.no/Util/login.aspx?ReturnUrl=/varsomui;;;;http://tst-www.varsom.no/Util/login.aspx?ReturnUrl=%2fvarsomui;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GULMERKET: Celler med døde eller ukjent involverte;;;;;;;;;Hei igjen;;totalt ant.;;;;;;;"S Sender,Søkestand, Spade
I Ingen
? Ukjent";;vedvarende svakt lag hvis dette er bekreftet. Ellers bruk flakskred om dette er kjent. Alt. Skavl, løssnøskred, ukjent;;;;;;;;;;;;;;;;
Blå kolonner skal vises i sesongliste på varsom. Røde er obligatoriske.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dato;Døde;Skredtatte;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse;Involvert;"Skadet/
omkommet";"Totalt 
begravd";"Delvis
begravd";"Tatt, 
men ikke
 begravd";"Nære på,
 men ikke 
tatt";Najonalitet;"Alder
(-årene)";Skredutstyr;"Middels til 
mye erfaring";type skred;skred-størrelse;guide;;;;;;;;;;;;;;
06.05.19;0;0;Ski;N;Skarven;Rauma;M&R;193898;;Skiløperutløst vått str.2 flakskred. Ikke tatt.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
05.05.19;0;0;Ski;M;Saltdalstinden;Tromsø;Troms;193802;;Skiløperutløst str.2 solskred. Ikke tatt;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
05.05.19;0;1;Ski;M;Trolltinden;Grytøya;Troms;193798;;skiløperutløst solskred str.2. tatt og begravd til hofte. Uskadd.;1;;;1;;;;;;;;2;;;;;;;;;;;;;;;
05.05.19;0;0;Snøskuter;N;Tobredalen;Svalbard;Sval.;193899;;Skuterutløst str.3 flakskred. Ukjent om noen ble tatt. Ingen kjente skader.;1;;;;;;;;;;;3;;;;;;;;;;;;;;;
04.05.19;0;0;Ski;M;Kjostinden;Lyngen;Troms;193723;;Utløste str.2 flakskred kontrollert. ;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
04.05.19;0;0;Ski;N;Storbrean;Lom;Oppl.;193721;;Turfølge utløste et str.2 flakskred. Ikke tatt, men nære på.;2;;;;;2;;;;;;2;;;;;;;;;;;;;;;
04.05.19;0;0;Ski;N;Storgalten;Lyngen;Troms;193719;;Lite str.1 flakskred gått over skispor. Ukjent om mennesker var involvert.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
04.05.19;0;0;Ski;K;Breitinden;Tromsø;Troms;193717;;Naturlig utløste våte solskred. Rakk å gjemte seg bak klipper. Det gikk flere skred.;2;;;;;2;;;;;;2;;;;;;;;;;;;;;;
30.04.19;0;1;Ski;M;Borbreen;Svalbard;Sval.;193307;;Skiløperutløst str.1 skred. Klarte å holde seg på beina på grunn av lite skredmasser.;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;
27.04.19;0;0;Ski;N;Tromsdalstinden;Tromsø;Troms;192958;;Skiløperutløst str.1 vått flakskred. Ingen tatt.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
22.04.19;0;0;Snøskuter;N;Lars Hiertafjellet;Svalbard;Sval.;192286;;Skuterutløst str.2 flakskred. Ingen tatt. Trolig highmarking.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
20.04.19;0;0;Ski;N;Småtindan;Hadsel;Nord.;192156;;Skiløperutløst str.1 vått løssnøskred. Ingen tatt.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
20.04.19;0;0;Ski;N;Helebudalen;Odda;Hord.;192104;;Skiløperutløst str.2 vått flakskred.Ingen tatt.;3;;;;;;;;;;;2;;;;;;;;;;;;;;;
20.04.19;0;0;Ski;N;Stetinden;Lyngen;Troms;192021;;Skiløperutløst str.3 skred. Ingen tatt, men nære på. Ble stående igjen rett ved bruddkanten. ;3;;;;;3;;;;;;3;;;;;;;;;;;;;;;
19.04.19;0;0;Ski;N;Fingeren;Ørsta;M&R;191894;;skiløperutløst str.1 våte skred. Ingen tatt;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
18.04.19;0;0;Ski;N;Kågen;Skjervøy;Troms;191779;;Skiløperutløst str.3 vått skred. Ingen tatt.;1;;;;;;;;;;;3;;;;;;;;;;;;;;;
17.04.19;0;0;Ski;N;Geitgaljen;Vågan;Nord.;191613;;Naturlig utløst is/sørpe skred i bratt renne. Mange i utløpsområdet. Ingen skredtatte, men nære på. Flere mistet utstyr.;10;;;;;10;;;;;;2;;;;;;;;;;;;;;;
15.04.19;0;1;Ski;M;Lakselvtindane;Lyngen;Troms;191357;;Skiløperutløst str.3 vått flakskred. En skredtatt, men ingen skader.;1;;;;1;;;;;;;3;;;;;;;;;;;;;;;
15.04.19;0;0;Ski;N;Goalsevarri;Lyngen;Troms;191350;;Skilperutløst str.2 vått flakskred. Vedvarende svakt lag. Ikke kjent om noen ble tatt.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
15.04.19;0;0;Ski;N;Trolltindaksla;Skjærvøy;Troms;191320;;Flere skispor i kanten av et str.3 skred. Løsnet på vedvarende svakt lag.;1;;;;;1;;;;;;3;;;;;;;;;;;;;;;
13.04.19;0;0;Ski;N;Vannaksla;Karlsøy;Troms;191092;;Skiløperutøst liten skavl som igjen løste ut str.1 skred i dypt vedvarende svakt lag. Mikroterreng. Ingen tatt eller skadet.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
12.04.19;0;0;Ski;N;Husbykollen;Hadsel;Nord.;190998;;Skilperutløst str.1 vått løssnøskred. Ingen tatt eller skadet.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
09.04.19;1;1;Ski;M;"""1237""";Lyngen;Troms;190495;https://varsom.no/nytt/ulykkesrapporter-sno/snoskred-dodsulykke-1237-lyngsalpene-9-april-2019/;Person falt gjennom skavl og utløste skred under. Erklært død på stedet.;1;1;;1;;;norsk;50;ja;ja;skavl;0;;;;;;;;;;;;;;;
07.04.19;0;0;Ski;N;Kyrkjenuten;Sauda;Hord.;190265;;Skiløperutløst str.2 skred. Ingen tatt. ;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
06.04.19;0;1;Ski;M;Isskardtindane;Lyngen;Troms;190125;;Skiløperutløst str.2 skred. Som tok kameraten 500 m ned. Utløste airbag, ble ikke begravd eller skadet.;2;;;;1;;;;;;;2;;;;;;;;;;;;;;;
05.04.19;0;0;Ski;N;Fagernesfjellet;Narvik;Nord.;190062;;Skiløperutløst str.2 skred i renne. Ingen tatt.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
03.04.19;0;1;Ski;M;Fastdalstind;Lyngen;Troms;189673;;Skiløperutløst str.3. En person tatt, men gravd ut. Uten skader.;3;;1;;;;;;;;;3;;;;;;;;;;;;;;;
01.04.19;1;1;Snøskuter;M;Reingjerdfjellet;Balsfjord;Troms;189405;;Skuterutløst str.3. En mann i 20-årene tatt, helt begravd og omkom. Funnet av redningstjenesten.;4;1;1;;;;norsk;20;nei;;vedvarende svakt lag;3;;;;;;;;;;;;;;;
31.03.19;0;1;Bil;N;E6 Skredbekkbakken;Bardu;Troms;189064;;Naturlig utløst skred traff bil, men sjåføren kom seg ut selv. Uskadd.;1;;;1;;;;;;;;;;;;;;;;;;;;;;;
31.03.19;0;0;Ski;N;Durmålsskolten;Balsfjord;Troms;189213;;Fjernutløst str.3. Ingen tatt.;1;;;;;;;;;;;3;;;;;;;;;;;;;;;
31.03.19;0;1;Ski;M;Syltnebba;Surnadal;M&R;189219;;Skiløperutløst str.1. En gutt (8) ble totalt begravd. Bror og mor gravde frem gutten med hendene. Ingen skader.;1;;1;;;;norsk;8;nei;?;flakskred;1;;;;;;;;;;;;;;;
31.03.19;0;0;Ski offpist;N;Hodlekve alpinanlegg;Sogndal;S&F;189125;;Skiløperutløst str.1. To spor inn og ut av skredet.;2;;;;;;;;;;;1;;;;;;;;;;;;;;;
30.03.19;0;0;Ski;N;Tennesfjellet;Balsfjord;Troms;189005;;Gruppe på 8 fjernutløste fra toppen et str.3 skred. Flere i området. Ingen tatt, men nære på.;8;;;;;8;;;;;;3;;;;;;;;;;;;;;;
30.03.19;0;0;Ski;N;Litletind;Narvik;Nord.;189000;;Skiløperutløst str.1. Ingen tatt.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
28.03.19;0;0;Ski;M;Vesle Galdstjernet;Vang;Oppl.;188647;;Fjernutløste str.3 skred fra siden. Forplantet seg opp til der kameraten sto igjen. Ingen skredtatt, men nære på.;2;;;;;2;;;;;;3;;;;;;;;;;;;;;;
27.03.19;0;0;Snøskuter;N;Fonnkloppeggi;Årdal;Oppl.;188463;;Skuterutløst str. 2 vått flakskred. ;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
26.03.19;2;2;Brøyting;N;Durmålstinden;Sørfold;Nord.;188304;;To anleggsmaskiner tatt av snøskred. Begge er omkommet.;2;2;2;;;;norsk;30 og 50;nei;;vedvarende svake lag;4;;;;;;;;;;;;;;;
26.03.19;0;1;Ski;N;Sofiatinden;Lyngen;Troms;188300;;Skiløperutløst str.1. i renne. Ble dratt med i skredet, men ikke begravd eller skadet.;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;
24.03.19;0;0;Ski offpist;N;Sudndalen skisenter;Hol;Busk.;187924;;Skiløperutløst str.1 i skogen. Skavel brakk når skikjører kjørte over. Ble ikke tatt. ;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
23.03.19;0;0;Ski;N;Daltinden;Lyngen;Troms;187916;;Skiløperutløst str.1. begge i skredet, men klarte å kjøre ut av det. ;2;;;;;;;;;;;1;;;;;;;;;;;;;;;
22.03.19;0;0;Ski;N;Fastdalstind- Rørgata;Lyngen;Troms;188133;;Skiløperutløst str.2. En person totalt begravd i 10 min. Kameratredning. Tilsynelatende uskadd. Hentet med helikopter.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
20.03.19;0;2;Ski;N;Småtindan;Vågan;Nord.;188305;;Skiløperutløst skred. Utenlandske. To skredtatte. Den ene kom seg ut raskt. Den andre lå under skredet i 10-15 min. Kameratredning.;4;1;1;1;;;italiensk;;ja;;;3;;;;;;;;;;;;;;;
18.03.19;0;0;Ski;M;Gaustatoppen;Tinn;Tele.;186961;;Skiløperutløst str.2 i renne. Ble ikke tatt. ;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
18.03.19;0;0;Ski;N;Lysebekken;Sirdal;Roga.;186912;;Fjernutløste str.1 skred over seg. Men skredet stoppet rett før de ble truffet. ;2;;;;;;;;;;;1;;;;;;;;;;;;;;;
17.03.19;0;1;Ski;N;Søre tinden;Sauda;Hord.;186909;;Skiløperutløst str.2. Skredtatt begravd til hofta, men kom seg ut. Ingen skade.;1;;;1;;;;;;;;2;;;;;;;;;;;;;;;
17.03.19;0;0;Ski;N;Tverrbotnfjellet;Tromsø;Troms;186904;;Skiløperutløst str.2. 7 spor inn og 7 spor ut av skredet.;7;;;;;;;;;;;2;;;;;;;;;;;;;;;
17.03.19;0;0;Ski;N;kongelberget Bjorli;Lesja;Oppl.;186690;;Skiløperutløst str.2. Ved skoggrensa. Ingen skredtatt.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
16.03.19;0;0;Ski;N;Isfjellet;Lyngen;Troms;186560;;Skiløperutløst str.2. I skoggrensa. Ingen tatt, men nære på.;2;;;;;2;;;;;;2;;;;;;;;;;;;;;;
16.03.19;0;5;Ski;N;Hollenderen;Tromsø;Troms;186567;;Skiløperutløst str.3. 5 utenlandske turister involvert. En person skadet og hentet ut med helikopter.;5;1;;;5;;italiensk;30;ja;ja;flakskred;3;;;;;;;;;;;;;;;
16.03.19;0;0;Ski offpist;N;Bondalseidet -skisenter;Ørsta;M&R;186554;;Fjernutløst str.2. Ingen skredtatte.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
15.03.19;0;0;Fots;M;Rubben;Bardu;Troms;186440;;Utløst på vei til isklatring. Str.2. ingen skade. Hadde sikret seg.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
15.03.19;0;0;Ski;M;Buren;Tromsø;Troms;186504;;Fjernutløste skred str.2 av skiløpere. Ingen tatt. Ingen skadet.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
14.03.19;0;0;Ski offpist;N;Totten -Hemsedal skisenter;Hemsedal;Busk.;186196;;Skiløperutløst str.2. ;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
13.03.19;0;1;Ski;N;Dugurdskampen;Kommune;Oppl.;186251;;Skiløperutløst str.3. En skredtatt, men ikke skadet. Utenlandske turister. Bruddkant 2m. Trolig brudd i kantkornlag.;2;;;1;;;utenlandsk;;;;;3;;;;;;;;;;;;;;;
10.03.19;1;1;Ski;M;Storfjellet;Grytøya;Troms;185456;;Skiløperutløst str.2. Mann i 20 årene omkom. Turkamerat gravde frem vedkommende.;2;1;1;;;;norsk;20;ja;ja;flakskred;2;;;;;;;;;;;;;;;
10.03.19;0;1;Ski;N;Sætertinden;Tjeldsund;Troms;185431;;Skiløperutløst str.3. En tatt, men ikke skadet.;3;;;1;;;;;;;;3;;;;;;;;;;;;;;;
10.03.19;0;3;Ski;N;Keipen;lenvik;Troms;185407;;Skiløperutløst skred. 3 tatt i skredet. 1 alvorlig skadet.;8;1;;3;;;norsk;;ja;;flakskred;3;;;;;;;;;;;;;;;
10.03.19;0;0;Ski;N;Soltindan;Karlsøy;Troms;185423;;Skiløperutløst str.2. Utløst i skoggrensa. Ingen skredtatte.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
10.03.19;0;1;Ski;N;Årheimsfjellet;stryn;S&F;185439;;Skiløperutløst str.2. Skredtatt, men kom seg ut selv. Ingen skader.;2;;;1;;;;;;;;2;;;;;;;;;;;;;;;
10.03.19;0;0;Snøskuter;N;Risholla;Alta;Finn.;185438;;Snøskuterutløst str.3. Skuterspor inn og ut av skredet. Bruddkant 2m. Brudd i kantkornlag.;1;;;;;;;;;;;3;;;;;;;;;;;;;;;
09.03.19;0;1;Ski;M;Nattmålstuva;Fauske;Nord.;185236;;Skiløperutløst str. 1 tatt av skredet, men kjørte ut.;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;
09.03.19;1;1;Ski;M;Brunstadhornet;Ørsta;M&R;185418;https://varsom.no/nytt/ulykkesrapporter-sno/snoskred-dodsulykke-brundstadhornet-urke-orsta-9-mars-2019/;Skiløperutløst str.2 En mann i 50 årene omkom. Funnet av sin kjæreste.;1;1;1;;;;norsk;50;ja;ja;flakskred;2;;;;;;;;;;;;;;;
09.03.19;0;0;Ski;N;Holetindane;Sykkylven;M&R;185167;;Skiløperutløst str.3. skispor inn og ut. Ingen skredtatt.;1;;;;;;;;;;;3;;;;;;;;;;;;;;;
09.03.19;0;0;Ski;M;Litle Skåradalen;Ørsta;M&R;185292;;Skiløperutløst str.2. ingen skredtatt, men nære på.;1;;;;;1;;;;;;2;;;;;;;;;;;;;;;
09.03.19;0;0;Ski;N;saudehornet;Ørsta;M&R;185163;;Skiløperutløst str.3. To skispor inn og to ut.;2;;;;;;;;;;;3;;;;;;;;;;;;;;;
09.03.19;0;0;Ski;M;Nyastølseggi;Sogndal;S&F;185585;;Skiløperutløst str.2. Ingen tatt, men nære på. ;1;;;;;1;;;;;;2;;;;;;;;;;;;;;;
09.03.19;0;1;Ski;M;Grøtdalstinden;Ørsta;M&R;185230;;Skiløperutløst str.2. En skredtatt, var under snøen et øyeblikk før det stoppet opp med snømasser til lår. Ingen person skader, men mistet en stav. ;2;;;1;;;norsk;;;;;2;;;;;;;;;;;;;;;
09.03.19;0;0;Ski;M;Dukhornet;Ørsta;M&R;185229;;Fjernutløst str.2 skred. Ingen skredtatte.;2;;;;;;;;;;;2;;;;;;;;;;;;;;;
09.03.19;0;0;Ski;N;Kvitegga;Stranda;M&R;185111;;Skiløperutløst str.2. på vei opp. Ingen tatt.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
09.03.19;0;0;Ski offpist;M;Blådalen;Stranda;M&R;185206;;Skiløperutløst str.1. i skoggrensa. ingen tatt, men nære på. ;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
09.03.19;0;0;Ski offpist;N;Lemonsjøen alpinanlegg;Vågå;Oppl.;185119;;Skiløperutløst str.2. Ingen tatt, men nære på. ;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
08.03.19;0;0;Bil;N;Tyin bom;Vang;Oppl.;184854;;Naturlig utløst. str.1 Bil kjørte inn i skred. Ingen skade. Kom seg løs selv.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
08.03.19;0;0;Ski;N;Gaustatoppen;Tinn;Tele.;184992;;Skiløperutløst str.2. ingen skredtatt. ;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
08.03.19;0;1;Ski;M;Kvittinden;Lenvik;Troms;185043;;Skiløperutløst str.2 En skredtatt. Kameratredning. Uskadd.;1;;1;;;;norsk;;;;;2;;;;;;;;;;;;;;;
08.03.19;0;0;Ski;N;Nibbi;Hemsedal;Busk.;185013;;Skiløperutløst skred. str.2. to spor inn og to ut. ;2;;;;;;;;;;;2;;;;;;;;;;;;;;;
08.03.19;0;0;Ski;N;Høgtind;Gratangen;Troms;185161;;Skiløperutløst str.2. i skogen. Ingen tatt.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
08.03.19;0;0;Ski;N;Durmålsfjellet;Tromsø;Troms;185107;;Skiløperutløst str.1. i skoggrensa. ingen tatt. ;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
08.03.19;0;0;Ski;N;Storhaugen Myrkdalen;Voss;S&F;184901;;Skiløperutløst. Str.1. Ingen tatt. ;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
07.03.19;0;4;Ski;K;Blåbærfjellet;Balsfjord;Troms;185420;;Skiløperutløst skred. Str.3. 4 skredtatte. 1 kvinne er skadet og hentet med helikopter.;4;1;;4;;;norsk;20;ja;;flakskred;3;;;;;;;;;;;;;;;
07.03.19;0;0;Snøbrett;N;Småtindan;Vågan;Nord.;184655;;Skiløperutløst skred. Str.2. på vei opp. Skredet treffer nesten person på vei opp.;2;;;;;2;;;;;;2;;;;;;;;;;;;;;;
06.03.19;0;1;Ski;M;Finnlandsfjellet;Tromsø;Troms;185704;;Skiløperutløst skred. Skredtatt, men kom seg løs med. Måtte hentes med helikopter pga redd for nye skred. ;1;;;1;;;norsk;;;;;2;;;;;;;;;;;;;;;
05.03.19;0;0;Ski;N;Nordenskioldfjellet;Svalbard;Sval.;184313;;Fjernutløs str.3 skred. Ingen skredtatte.;1;;;;;;;;;;;3;;;;;;;;;;;;;;;
20.02.19;0;1;Ski;N;Svånuten;Bykle;Tele.;182247;;Skiløperutløst skred. Str.3. en ble tatt og mistet ski, men ikke skadet.;2;;;1;;;norsk;;;;;3;;;;;;;;;;;;;;;
19.02.19;0;0;Ski;M;fagernesfjellet;Narvik;Nord.;181988;;Skiløperutløst skred str.1. på en konveks i skogen;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
12.02.19;0;1;Ski;M;Sollifjellet;Harstad;Troms;180603;;Skiløperutløstskred str.1 i skogen. Klarte å kjøre ut av skredet.;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;
12.02.19;0;3;Ski;M;Einsetnuten;Hol;Busk.;180610;;3 personer gravde snøprofil i lite heng som løsnet. Fraktet 3 meter ned med snømassene.;3;;;;3;;;;;;;1;;;;;;;;;;;;;;;
11.02.19;0;0;Ski;M;Mjønestinden;Bodø;Nord.;180411;;Skiløperutløst skred str.1. i tregrensa. ingen tatt.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
09.02.19;0;0;Ski;M;Gjerdelva;Lyngen;Troms;179873;;Skiløperutløst skred str.2. Kjent terrengfelle;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
04.02.19;1;1;Snøskuter;M;Signesdalsfjellet;Åseral;V-A;179281;;Skuterutløst skred. Str.3. En person omkom;1;1;1;;;;norsk;10;nei;nei;vedvarende svakt lag;3;;;;;;;;;;;;;;;
02.02.19;0;0;Ski;N;Frudalshesten;Sogndal;S&F;178853;;Skiløperutløst skred. Str.2. ;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
02.02.19;0;1;Ski;M;Botntinden;Meløy;Nord.;178837;;Skiløperutløst skred. Str.2. En person tatt med i skredet noen meter, men kom seg ut. Ingen skade.;1;;;;1;;;;;;;2;;;;;;;;;;;;;;;
02.02.19;0;2;Ski;M;Sorteberg;Krødsherad;Busk.;178907;;Skiløperutløst skred. Str.1-2. Begge kjørte ut av skredet.;2;;;;2;;;;;;;1;;;;;;;;;;;;;;;
26.01.19;0;1;Ski;K;Tromsdalstinden;Tromsø;Troms;177813;;Skiløperutløst skred. Str.3. En kvinne begravd i skredet. Kameratredning. Lettere skader.;2;1;1;;;;norsk;30;ja;;flakskred;3;;;;;;;;;;;;;;;
25.01.19;0;1;Ski;M;Nattmålsfjellet;Tromsø;Troms;177644;;Skiløperutløst skred. Str.1. Person kjørte ut av skredet. Uskadd.;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;
24.01.19;0;1;Ski;N;Viktindan;Hadsel;Nord.;177462;;Skiløperutløst skred. Str.1. person fulgte med oppå skredet. Ingen skade.;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;
22.01.19;0;1;Ski;M;Byrkjefjellet;Kvam;Hord.;177087;;Skiløperutløst skred. Str.1. delvis begravd og mistet en ski. ;1;;;1;;;;;;;;1;;;;;;;;;;;;;;;
20.01.19;0;0;Bil;N;Strynefjellet;Stryn;S&F;;;Lastebil kjørte inn i snøskred. Ingen personskade.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
19.01.19;0;1;Ski;N;Bjørsetfjellet;Jølster;S&F;176560;;Skiløperutløst skred. Str.1-2. En tatt, men gravde seg selv ut. Ingen personskade.;1;;;1;;;;;;;;2;;;;;;;;;;;;;;;
18.01.19;0;0;Bil;N;Hjelledalen;Stryn;S&F;176536;;Buss kjørte inn i et snøskred. Ingen skadet.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
17.01.19;0;1;Ski;M;Geiteryggshytta;Hol;Busk.;176217;;Skiløperutløst skred. Str.2. Kjørte ut av skredet. Ingen skade.;1;;;;1;;;;;;;2;;;;;;;;;;;;;;;
02.01.19;4;4;Ski;N;Blåbærtinden;Balsfjord;Troms;173975;;Skiløperutløst skred. Str.3. 1 kvinne og 3 menn omkom. Totalt begravd.;4;4;4;;;;finsk, svensk;20-40;ja;ja;vedvarende svakt lag;3;;;;;;;;;;;;;;;
27.12.18;0;1;Ski;N;Skei;Gausdal;Oppl.;;;Skiløperutløst skred. En tatt, men ikke begravd og ingen skade.;1;;;;1;;;;;;;2;;;;;;;;;;;;;;;
26.12.18;0;0;Ski;K;Kvaløya;Tromsø;Troms;172684;;Skiløperutløst skred. Str.2. Ingen skade.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
24.12.18;0;0;Ski;M;hallingskarvet skisenter;Hol;Busk.;172511;;Skiløperutløst skred. Str. 1. Ingen skade.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
24.12.18;0;0;Ski;N;Svarthetta;Hemsedal;Busk.;172518;;Skiløperutløst skred. Str.2 flakskred. Ingen kjent skade.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
16.12.18;0;1;Bil;N;Vikafjellet;Voss;Hord.;171682;;Bil i kolonne tatt av skred. Ingen person skade.;1;;;1;;;;;;;;;;;;;;;;;;;;;;;
16.12.18;0;3;Ski;M;Mannsfjellet;Meråker;S-T;172031;;Skiløpere og splitboardere utløste skred på vei opp. 3 ble delvis begravd, men ikke skadet.;4;;;3;;;norsk;20;delvis;lite;flakskred;3;;;;;;;;;;;;;;;
09.12.18;0;1;Ski offpist;M;Myrkdalen;Voss;Hord.;170638;;Skiløperutløst skred ved skianlegg. Str.2 flakskred. Kneskade.;1;1;;1;;;norsk;;;;flakskred;2;;;;;;;;;;;;;;;
05.12.18;0;1;Snøbrett;M;Fardalsbakken;Svalbard;Sval.;170181;;Snøbrettkjører utløste str.3 skred. Ble tatt av skredet, men kom seg unna.;1;;;;1;;;;;;;3;;;;;;;;;;;;;;;
29.09.18;0;1;Fots;M;Bentsjordtinden;Malangen;Troms;167884;https://varsom.no/nytt/ulykkesrapporter-sno/snoskredhending-i-september-i-troms/;På fottur, på vei ned fra toppen. Skadet og fraktet til sykehus med helikopter.;1;1;;1;;;norsk;70;nei;;ukjent;2;;;;;;;;;;;;;;;
10.05.18;0;0;Ski;M;Storgalten;Lyngen;Troms;164270;;Skiløperutløst skred. Str.3 Ingen tatt. Ingen skadet.;1;;;;;;;;;;flaksked;3;;;;;;;;;;;;;;;
04.05.18;0;0;Ski;M;Breikågen;Skjervøy;Troms;163617;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
03.05.18;0;1;Ski;M;Stehøe;Lom;Oppl.;163544;;Skiløperutløst skred. Ble ført med skredmassene 150 meter. Ikke begravd. Ikke skadet.;1;;;;1;;;;;;;2;;;;;;;;;;;;;;;
03.05.18;0;0;Ski;M;Bjørndalen;Lyngen;Troms;163491;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
02.05.18;0;0;Ski;M;Bingtoppen;Svalbard;Sval.;163360;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
01.05.18;0;0;Ski;M;Fugledalsbreen;Lyngen;Troms;163322;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
01.05.18;0;0;Ski;M;Storsteinnestinden;Tromsø;Troms;163213;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
30.04.18;0;0;Ski;M;Sultinden;Lyngen;Troms;163089;;Skiløper utløst skred. Ingen tatt. Ingen skadet;2;;;;;;;;;;;1;;;;;;;;;;;;;;;
30.04.18;0;0;Ski;M;Grønetinden;Ørsta;M&R;163106;;Skiløper utløste vått løssnøskred. Ingen tatt. Ingen skadet.;3;;;;;;;;;;;1;;;;;;;;;;;;;;;
30.04.18;0;1;Ski;M;Steindalsnosi;Luster;S&F;163107;;Person i turfølge gikk ut på skavl som brakk. Alvorlig skadet og fraktet til sykehus med helikopter;6;1;;;1;;utenlandsk;50;;;skavl;0;;;;;;;;;;;;;;;
29.04.18;0;0;Ski;M;Nakkefjellet;Tromsø;Troms;162976;;Skiløperutløst skred. Ingen tatt. Ingen skadet.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
29.04.18;0;0;Ski;M;Hamperokken;Tromsø;Troms;162982;;Skiløperutløst lite løssnøskred. Ingen tatt. Ingen skadet.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
29.04.18;0;0;Ski;M;Storgalten;Lyngen;Troms;162965;;Skiløperutløst skred. Ingen tatt. Ingen skadet.;2;;;;;;;;;;;2;;;;;;;;;;;;;;;
28.04.18;0;0;Ski;M;Søre Snarhornet;Ørsta;M&R;162871;;Skiløperutøst lite vått skred. Ingen tatt. Ingen skadet.;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
28.04.18;0;0;Ski;M;Tromsdalstinden;Tromsø;Troms;162884;;Skiløper utløste lite vått skred. Ingen tatt.Ingen skadet;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
27.04.18;0;0;Ski;M;Medlerskin;Kvinnherrad;Hord.;162757;;Skiløper utløste lite skred. Ingen tatt, ingen skadet;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
